市区町村,種別,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
北海道苫小牧市,工業地,100,98.35589942,97.53384913,97.00193424,96.61508704,96.37330754,96.03481625,95.84139265,95.79303675,95.98646035,99.9516441
北海道芦別市,商業地,100,96.80851064,92.55319149,87.23404255,81.91489362,76.59574468,71.27659574,67.0212766,62.76595745,60.63829787,58.5106383
青森県六戸町,住宅地,100,97.88359788,96.2962963,94.70899471,93.12169312,92.06349206,91.00529101,89.94708995,88.88888889,87.83068783,86.77248677
北海道赤平市,商業地,100,92.63157895,86.31578947,81.05263158,76.84210526,72.63157895,68.42105263,64.21052632,60,57.89473684,55.78947368
東京都神津島村,商業地,100,100,100,100,100,100,100,100,100,100,100
福島県南会津町,住宅地,100,100,99.94747899,99.78991597,98.58193277,96.9012605,95.11554622,93.43487395,91.12394958,89.3907563,87.55252101
石川県志賀町,住宅地,100,96.32545932,92.65091864,89.50131234,85.82677165,82.04724409,78.2152231,74.80314961,71.54855643,68.29396325,62.62467192
青森県平川市,住宅地,100,98.43342037,97.38903394,96.34464752,95.5613577,95.03916449,94.51697128,94.38642298,94.77806789,95.4308094,96.34464752
北海道帯広市,工業地,100,100,100,103.125,104.1666667,110.4166667,117.7083333,127.0833333,144.7916667,166.6666667,189.5833333
千葉県九十九里町,住宅地,100,100,100,98.95833333,98.4375,97.91666667,96.875,95.83333333,94.79166667,93.75,92.70833333
山形県西川町,商業地,100,97.29166667,94.6875,92.1875,89.79166667,87.5,85.20833333,83.54166667,82.60416667,81.66666667,80.72916667
福岡県大牟田市,工業地,100,98.23100937,96.947624,96.25390219,95.56018037,95.83766909,95.76829691,96.18453,97.91883455,101.2486993,105.9660076
茨城県八千代町,住宅地,100,99.01247401,98.49272349,97.97297297,97.45322245,96.93347193,96.41372141,95.89397089,95.37422037,94.75051975,94.33471933
鹿児島県曽於市,住宅地,100,97.86206897,95.72413793,93.75862069,92.24137931,90.51724138,89.03448276,87.68965517,86.5862069,85.93103448,85.37931034
東京都大島町,住宅地,100,100,100,100,99.48717949,98.46153846,97.43589744,96.41025641,95.38461538,94.87179487,94.35897436
青森県田舎館村,住宅地,100,97.95918367,96.2585034,94.89795918,94.21768707,93.53741497,92.85714286,92.5170068,92.17687075,91.83673469,92.5170068
島根県吉賀町,住宅地,100,97.45676501,95.01525941,92.37029502,90.03051882,88.50457782,86.46998983,84.94404883,83.92675483,82.90946083,82.19735504
北海道厚岸町,住宅地,100,99.49238579,99.49238579,99.49238579,99.49238579,99.49238579,99.49238579,99.49238579,99.49238579,99.49238579,98.47715736
福岡県嘉麻市,住宅地,100,97.71573604,95.43147208,93.70558376,92.18274112,90.98984772,89.7715736,89.21319797,89.23857868,89.89847716,91.06598985
青森県鶴田町,住宅地,100,97.47474747,95.45454545,94.44444444,93.43434343,92.42424242,91.41414141,90.4040404,89.39393939,88.38383838,87.37373737
北海道南幌町,商業地,100,95.95959596,91.91919192,87.87878788,84.84848485,81.31313131,77.77777778,74.74747475,73.73737374,73.73737374,74.74747475
鳥取県米子市,工業地,100,98,97,97,99,100,100,100,100,100,100
青森県外ヶ浜町,住宅地,100,97,94,91,88,85,82,79,77,75,73
青森県階上町,住宅地,100,96.5,94,93,92,91,90,89,88,87,86
福島県玉川村,住宅地,100,99.85022466,99.75037444,99.55067399,100.6989516,101.5476785,101.5476785,100.7988018,100.0499251,99.45082376,98.85172242
北海道岩内町,住宅地,100,98.25870647,95.02487562,93.03482587,90.7960199,89.80099502,89.55223881,91.04477612,95.52238806,97.51243781,98.50746269
北海道遠軽町,住宅地,100,99.00497512,98.50746269,98.00995025,97.51243781,97.51243781,97.51243781,97.51243781,97.51243781,97.51243781,97.51243781
茨城県鉾田市,住宅地,100,98.13710879,96.62195728,95.28067561,94.06358669,92.87133631,91.82811724,90.80973671,89.99006458,89.31942375,89.1455539
福島県白河市,工業地,100,101.980198,102.970297,102.970297,102.970297,102.970297,102.970297,102.970297,102.970297,102.970297,103.960396
長野県上田市,工業地,100,99.00990099,99.00990099,99.00990099,99.00990099,99.00990099,98.51485149,98.51485149,100,101.980198,103.960396
青森県つがる市,住宅地,100,96.53465347,94.05940594,92.57425743,91.08910891,90.0990099,89.10891089,89.10891089,90.59405941,93.56435644,95.04950495
茨城県稲敷市,住宅地,100,98.51485149,97.20792079,95.96039604,94.73267327,93.5049505,92.23762376,90.67326733,89.34653465,88.03960396,86.77227723
千葉県横芝光町,住宅地,100,100,100,100,100,100,99.00990099,99.00990099,99.00990099,99.00990099,99.00990099
北海道三笠市,商業地,100,93.06930693,87.12871287,82.17821782,77.22772277,72.27722772,68.31683168,65.34653465,62.37623762,59.9009901,57.92079208
鳥取県若桜町,住宅地,100,97.28126545,94.41423628,91.69550173,88.97676718,86.15916955,83.440435,81.16658428,79.53534355,77.85467128,76.61888285
青森県藤崎町,住宅地,100,96.71052632,94.07894737,92.76315789,92.59868421,92.43421053,91.61184211,91.44736842,91.44736842,91.77631579,92.76315789
宮崎県高原町,住宅地,100,97.54901961,95.09803922,92.64705882,90.19607843,87.74509804,85.29411765,82.84313725,80.39215686,78.57843137,77.25490196
長野県小諸市,工業地,100,99.02912621,98.05825243,98.05825243,99.02912621,99.02912621,98.05825243,98.05825243,99.02912621,100,101.9417476
福岡県添田町,住宅地,100,98.31325301,97.10843373,95.90361446,94.69879518,93.4939759,92.28915663,91.08433735,90.36144578,89.63855422,88.91566265
